HEADING,DATE,NEWS,text,predicted_label
 CHINA'S HEILONGJIANG PROVINCE BOOSTS GOLD OUTPUT," PEKING, March 2 -"," Gold output in the northeast China  province of Heilongjiang rose 22.7 pct in 1986 from 1985's  level, the New China News Agency said. It gave no figures.  It said the province, China's second largest gold producer  after Shandong, plans to double gold output by 1990 from the  1986 level. China does not publish gold production figures.  However, industry sources estimate output at about 65  tonnes a year, with exports put between 11 and 31 tonnes.  China is selling more gold abroad to offset large trade  deficits in recent years, western diplomats said.  REUTER ",china s heilongjiang province boosts gold output gold output in the northeast china province of heilongjiang rose pct in from s level the new china news agency said it gave no figures it said the province china s second largest gold producer after shandong plans to double gold output by from the level china does not publish gold production figures however industry sources estimate output at about tonnes a year with exports put between and tonnes china is selling more gold abroad to offset large trade deficits in recent years western diplomats said reuter,1
 TALKING POINT/GOLD," Toronto, March 27 -"," The price of gold bullion and share  prices of North American gold stocks are benefiting from  continued weakness in the U.S. dollar, analysts said.  ""There's been a tug of war between the (currency)  speculators and the central banks over the U.S. dollar and it  looks like the game has gone to the speculators,"" said John Ing  at Maison Placements Canada Inc.  The dollar remained close to post-World War II lows today  against the Japanese yen despite buying by several central  banks, including the Federal Reserve, dealers said.  A drop in the dollar means uncertainty and gold is the  traditional hedge against uncertainty, Ing noted.  Another analyst, Richard Cohen at Brown Baldwin Nisker Ltd,  noted that ""a lot of foreign investors are holding U.S. dollars.  If they see they are losing money, they move back into gold.""  A dollar decline also has inflationary implications, Ing  said, adding that Maison Placements sees inflation rising to a  four pct annual rate from the current level of about three pct.  Ing predicts gold will peak at 510 dlrs this year from its  current level of about 416 dlrs per ounce. Cohen sees an  average price of 425 dlrs, and another analyst, Michael  Pickens, at Yorkton Securities, puts the average at 450 dlrs,  with a possible spike above 500 dlrs.  However, gold stocks in the U.S. and Canada have risen far  faster in recent months than the price of the metal itself,  causing concern among analysts that a correction lies somewhere  in the future. But for now, all analysts say there is no sign  the buying pressure is slowing down. ""The stocks have run an  incredible way,"" Cohen said.  On U.S. markets today, ASA Ltd & lt;ASA > rose 4-1/8 to 61-1/2,  Campbell Red Lake Mines & lt;CRK > was up 1-3/8 and Newmont Gold  & lt;NGC > increased 1-1/2 to 31-1/4.  The Toronto Stock Exchange gold index today was up 268  points at 8067.90. Hemlo Gold gained 1-1/4 at 26-3/4, LAC  Minerals was up 1-5/8 at 41, Placer Development rose 1-1/4 at  43-3/8 and Lacana Mining gained 1 at 18.  Ing pointed out that the TSE gold index has gained 51 pct  since December 31, 1986, while the price of bullion has  increased six pct. ""Canadian golds have been the top performing  index this year,"" he noted.  In the U.S., there is ""too much money chasing too few  stocks,"" Pickens said. And many investing institutions such as  pension funds and insurance companies still have excess cash,  he added.  Cohen also noted that today's silver price break through  six dlrs an ounce indicates small investors are entering the  precious metals market and he expects the ratio between gold  and silver prices to narrow.  Reuter ",talking point gold the price of gold bullion and share prices of north american gold stocks are benefiting from continued weakness in the u s dollar analysts said there s been a tug of war between the currency speculators and the central banks over the u s dollar and it looks like the game has gone to the speculators said john ing at maison placements canada inc the dollar remained close to post world war ii lows today against the japanese yen despite buying by several central banks including the federal reserve dealers said a drop in the dollar means uncertainty and gold is the traditional hedge against uncertainty ing noted another analyst richard cohen at brown baldwin nisker ltd noted that a lot of foreign investors are holding u s dollars if they see they are losing money they move back into gold a dollar decline also has inflationary implications ing said adding that maison placements sees inflation rising to a four pct annual rate from the current level of about three pct ing predicts gold will peak at dlrs this year from its current level of about dlrs per ounce cohen sees an average price of dlrs and another analyst michael pickens at yorkton securities puts the average at dlrs with a possible spike above dlrs however gold stocks in the u s and canada have risen far faster in recent months than the price of the metal itself causing concern among analysts that a correction lies somewhere in the future but for now all analysts say there is no sign the buying pressure is slowing down the stocks have run an incredible way cohen said on u s markets today asa ltd lt asa rose to campbell red lake mines lt crk was up and newmont gold lt ngc increased to the toronto stock exchange gold index today was up points at hemlo gold gained at lac minerals was up at placer development rose at and lacana mining gained at ing pointed out that the tse gold index has gained pct since december while the price of bullion has increased six pct canadian golds have been the top performing index this year he noted in the u s there is too much money chasing too few stocks pickens said and many investing institutions such as pension funds and insurance companies still have excess cash he added cohen also noted that today s silver price break through six dlrs an ounce indicates small investors are entering the precious metals market and he expects the ratio between gold and silver prices to narrow reuter,-1
" USDA ESTIMATES 1986 SOVIET GRAIN CROP  AT 210 MLN TONNES VS 210 IN FEB, 192 YEAR-AGO",(NO DATE),(NO TEXT),usda estimates soviet grain crop at mln tonnes vs in feb year ago no text,1
 LONDON GRAIN FREIGHTS," LONDON, April 9 - FIXTURES - TBN -"," 27,000 long tons  USG/Taiwan 23.25 dlrs fio five days/1,50 0 1-10/5 Continental.  Trade Banner - 30,000 long tons grain USG/Morocco 13.50  dlrs 5,000/5,000 end-April/early-May Comanav.  Reference New York Grain Freights 1 of April 8, ship  brokers say the vessel fixed by Cam from the Great Lakes to  Algeria at 28 dlrs is reported to be the Vamand Wave.  Reference New York Grain Freights 2 of April 8, they say  the Cory Grain maize business from East London at 22 dlrs is to  Japan and not to Spain as reported.  Reuter ",london grain freights long tons usg taiwan dlrs fio five days continental trade banner long tons grain usg morocco dlrs end april early may comanav reference new york grain freights of april ship brokers say the vessel fixed by cam from the great lakes to algeria at dlrs is reported to be the vamand wave reference new york grain freights of april they say the cory grain maize business from east london at dlrs is to japan and not to spain as reported reuter,1
 BELGIUM LAUNCHES BONDS WITH GOLD WARRANTS," ZURICH, April 9 -"," The Kingdom of Belgium is launching 100  mln Swiss francs of seven year notes with warrants attached to  buy gold, lead mananger Credit Suisse said.  The notes themselves have a 3-3/8 pct coupon and are priced  at par. Payment is due April 30, 1987 and final maturity April  30, 1994.  Each 50,000 franc note carries 15 warrants. Two warrants  are required to allow the holder to buy 100 grammes of gold at  a price of 2,450 francs, during the entire life of the bond.  The latest gold price in Zurich was 2,045/2,070 francs per  100 grammes.  REUTER ",belgium launches bonds with gold warrants the kingdom of belgium is launching mln swiss francs of seven year notes with warrants attached to buy gold lead mananger credit suisse said the notes themselves have a pct coupon and are priced at par payment is due april and final maturity april each franc note carries warrants two warrants are required to allow the holder to buy grammes of gold at a price of francs during the entire life of the bond the latest gold price in zurich was francs per grammes reuter,1
 UNUSUALLY DRY WEATHER AFFECTS CHINA'S AGRICULTURE," PEKING, March 5 -"," Abnormally warm and dry weather over most  parts of China is seriously affecting crops, the New China News  Agency said.  It said the drought has made rice planting difficult in  eight provinces, including Guangxi, Sichuan and Hunan. Plant  diseases and insect pests have increased in wheat-producing  areas, it said.  The agency said some areas of Guangxi, Hubei, Shanxi and  other provinces have been suffering a drought for more than  seven months.  The agency said the dry weather had reduced the amount of  water stored by more than 20 pct compared with last March,  lowered the water level of many rivers, reduced hydroelectric  power supplies and caused water shortages for industry and  consumers.  The upper reaches of the Yangtze are at their lowest levels  in a century, causing many ships to run aground and making  harbour manoeuvres difficult, it said.  The drought has also increased the number of forest fires.  More than 1,000 fires in southern China had destroyed 13,340  hectares of forest by mid-February, it said.  REUTER ",unusually dry weather affects china s agriculture abnormally warm and dry weather over most parts of china is seriously affecting crops the new china news agency said it said the drought has made rice planting difficult in eight provinces including guangxi sichuan and hunan plant diseases and insect pests have increased in wheat producing areas it said the agency said some areas of guangxi hubei shanxi and other provinces have been suffering a drought for more than seven months the agency said the dry weather had reduced the amount of water stored by more than pct compared with last march lowered the water level of many rivers reduced hydroelectric power supplies and caused water shortages for industry and consumers the upper reaches of the yangtze are at their lowest levels in a century causing many ships to run aground and making harbour manoeuvres difficult it said the drought has also increased the number of forest fires more than fires in southern china had destroyed hectares of forest by mid february it said reuter,1
 US TROPICAL OIL LABELING PLAN SUFFERS DEFEAT," WASHINGTON, Oct 19 -"," A proposal to require imported  tropical oils to be labeled as saturated fats suffered a narrow  and possibly debilitating defeat in the U.S. Senate.  The Senate Agriculture Committee rejected the proposal by a  10-8 vote, virtually snuffing out U.S. soybean producers' hopes  the plan would be adopted this year.  A similar proposal has made no headway in the House.  Sen. Tom Harkin (D-Iowa) offered the proposal as an  amendment to a farm spending reduction package.  ""I don't see this as a trade issue. I see it as giving  American consumers the information they need,"" he said.  Proponents of the measure, including the American Soybean  As sociation, have claimed palm, palm kernel and coconut oils  are high in saturated fat and can contribute to heart disease.  The U.S. soybean industry believes labels indicating  tropical oils are high in saturated fats would discourage  consumption of the oils, imported primarily from Malaysia,  Indonesia and the Philippines.  But Sen. Richard Lugar (R-Ind.) read a letter from U.S.  Trade Representative Clayton Yeutter, who said the proposal  ""blatantly discriminates"" against imports, would be impossible to  defend under international trade law and would harm relations  with the Philippines, Malaysia and Indonesia.  Yeutter's letter also said Americans derive most of their  saturated fats from meat and dairy products and relatively  little from tropical oils.  The committee voted largely along party lines, with three  Democrats joining seven Republicans to oppose the measure.  Reuter ",us tropical oil labeling plan suffers defeat a proposal to require imported tropical oils to be labeled as saturated fats suffered a narrow and possibly debilitating defeat in the u s senate the senate agriculture committee rejected the proposal by a vote virtually snuffing out u s soybean producers hopes the plan would be adopted this year a similar proposal has made no headway in the house sen tom harkin d iowa offered the proposal as an amendment to a farm spending reduction package i don t see this as a trade issue i see it as giving american consumers the information they need he said proponents of the measure including the american soybean as sociation have claimed palm palm kernel and coconut oils are high in saturated fat and can contribute to heart disease the u s soybean industry believes labels indicating tropical oils are high in saturated fats would discourage consumption of the oils imported primarily from malaysia indonesia and the philippines but sen richard lugar r ind read a letter from u s trade representative clayton yeutter who said the proposal blatantly discriminates against imports would be impossible to defend under international trade law and would harm relations with the philippines malaysia and indonesia yeutter s letter also said americans derive most of their saturated fats from meat and dairy products and relatively little from tropical oils the committee voted largely along party lines with three democrats joining seven republicans to oppose the measure reuter,1
 FIRE DAMAGES PAKISTAN SUGAR STOCK," KARACHI, April 27 -"," A fire damaged a large stock of  imported sugar stored in a customs warehouse at Karachi on  Saturday night, customs officials said.  They said the warehouse contained about 15,000 tonnes of  sugar in 150,000 bags but they did not know how much had been  destroyed or damaged. They said the cause of the fire was  unknown.  REUTER ",fire damages pakistan sugar stock a fire damaged a large stock of imported sugar stored in a customs warehouse at karachi on saturday night customs officials said they said the warehouse contained about tonnes of sugar in bags but they did not know how much had been destroyed or damaged they said the cause of the fire was unknown reuter,1
 MAURITIAN SUGAR EXPORTS FALL IN FEBRUARY," LONDON, March 31 -"," Mauritius exported 47,144 tonnes of  sugar (tel quel) in February, down from 57,911 tonnes (tel  quel) shipped in January and 89,351 in February 1986, the  Mauritius Chamber of Agriculture's Sugar News Bulletin said.  Opening stocks at the beginning of last month totalled  320,057 tonnes, against 288,406 tonnes at the start of February  last year. Closing stocks at the end of February were 270,212  tonnes, up from 196,309 tonnes at end-February 1986.  The estimate for 1986 sugar production was unchanged from  last month at 748,472 tonnes, raw value, the Chamber said.  REUTER ",mauritian sugar exports fall in february mauritius exported tonnes of sugar tel quel in february down from tonnes tel quel shipped in january and in february the mauritius chamber of agriculture s sugar news bulletin said opening stocks at the beginning of last month totalled tonnes against tonnes at the start of february last year closing stocks at the end of february were tonnes up from tonnes at end february the estimate for sugar production was unchanged from last month at tonnes raw value the chamber said reuter,1
 EC SUGAR IMPORT LEVIES," BRUSSELS, MARch 9 -"," The following import levies for white  and raw sugar are effective tomorrow, in European currency  units (ecu) per 100 kilos.  White sugar, denatured and non-denatured 49.70 versus 50.05  previously.  Raw sugar, denatured and non-denatured 41.35 versus 41.35  previously.  The rate for raws is based on 92 pct yield.  Reuter ",ec sugar import levies the following import levies for white and raw sugar are effective tomorrow in european currency units ecu per kilos white sugar denatured and non denatured versus previously raw sugar denatured and non denatured versus previously the rate for raws is based on pct yield reuter,1
 MORE BRITISH GOLD ARTICLES HALLMARKED," LONDON, April 13 -"," The number of British gold articles  hallmarked during the first quarter of this year rose by more  than 11 pct on the corresponding period last year, figures  released by the Assay Offices of Great Britain show.  More than 2.5 mln British items were hallmarked during the  quarter, up 11.1 pct on the same year ago period. The four  Assay Offices also marked 832,222 foreign gold articles, up 2.5  pct on last year.  In weight terms the 7.19 mln grams of British gold assayed  was a 15.3 pct increase, while the 2.95 mln grams of foreign  gold represented a rise of 3.1 pct.  British silver goods assayed totalled 698,132, an increase  of 6.2 pct but only 78,457 foreign items were marked, a fall of  11.1 pct.  A total of 10,968 kilos of silver were assayed, an 11.1 pct  rise.  The number of platinum items marked fell 12.5 pct to 1,785,  while in weight terms the total slipped 8.1 pct to 9,849 grams.  A spokesman for the Assay Offices of Great Britain said he  was particularly encouraged to see the percentage increase for  British manufactured goods.  Reuter ",more british gold articles hallmarked the number of british gold articles hallmarked during the first quarter of this year rose by more than pct on the corresponding period last year figures released by the assay offices of great britain show more than mln british items were hallmarked during the quarter up pct on the same year ago period the four assay offices also marked foreign gold articles up pct on last year in weight terms the mln grams of british gold assayed was a pct increase while the mln grams of foreign gold represented a rise of pct british silver goods assayed totalled an increase of pct but only foreign items were marked a fall of pct a total of kilos of silver were assayed an pct rise the number of platinum items marked fell pct to while in weight terms the total slipped pct to grams a spokesman for the assay offices of great britain said he was particularly encouraged to see the percentage increase for british manufactured goods reuter,1
 FORCE MAJEURE LIFTED AT CAJAMARQUILLA," LIMA, June 18 -"," Peru's state minerals marketing arm, Minero  Peru Comercial SA (Minpeco), lifted a force majeure on zinc  ingot shipments from the country's biggest zinc refinery at  Cajamarquilla, a spokesman said.  The spokesman said the problems affecting sulphuric acid  and roaster plants that had halted production since May 4 had  been resolved.  However, he said production of zinc ingots this year was  expected to fall to around 86,000 tonnes this year at  Cajamarquilla, from 94,000 tonnes in 1986 because of the  stoppage.  The refinery has an optimum annual production capacity of  100,000 tonnes but its highest production was 96,000 tonnes of  refined zinc ingots in 1985, the spokesman said.  Reuter ",force majeure lifted at cajamarquilla peru s state minerals marketing arm minero peru comercial sa minpeco lifted a force majeure on zinc ingot shipments from the country s biggest zinc refinery at cajamarquilla a spokesman said the spokesman said the problems affecting sulphuric acid and roaster plants that had halted production since may had been resolved however he said production of zinc ingots this year was expected to fall to around tonnes this year at cajamarquilla from tonnes in because of the stoppage the refinery has an optimum annual production capacity of tonnes but its highest production was tonnes of refined zinc ingots in the spokesman said reuter,1
 PIONEER GROUP & lt;PIOG > UNIT GETS MORE LAND," BOSTON, March 6 -"," The Pioneer Group Inc said its 70  pct-owned Teberebie Goldfields Ltd venture has been granted an  additional concession of land in Ghana to look for and mine  gold.  The State Gold Mining Corp of Ghana granted the venture an  additional 14.5 square kilometers in Teberebie, Ghana,  contiguous to 11.5 square kilometers granted earlier, the  company said.  The original concession appears to have a substantial  amount of gold bearing material containing about 2 grams, or  6/100 ounces, of gold per metric ton.  But the venture has no firm estimates on the costs of  extracting the gold and no assurances can be given that the  reserves can be mined profitably, the company said.  It said Teberebie Goldfields has not conducted tests on the  newly granted land but added the land seems to be similar in  geological characteristics to the original land.  Reuter ",pioneer group lt piog unit gets more land the pioneer group inc said its pct owned teberebie goldfields ltd venture has been granted an additional concession of land in ghana to look for and mine gold the state gold mining corp of ghana granted the venture an additional square kilometers in teberebie ghana contiguous to square kilometers granted earlier the company said the original concession appears to have a substantial amount of gold bearing material containing about grams or ounces of gold per metric ton but the venture has no firm estimates on the costs of extracting the gold and no assurances can be given that the reserves can be mined profitably the company said it said teberebie goldfields has not conducted tests on the newly granted land but added the land seems to be similar in geological characteristics to the original land reuter,-1
